operation_id,client_id,operation_type,asset_class,requested_amount,currency,request_date,settlement_date,current_status,current_stage,priority,responsible_team,last_update,completion_date,exception_flag,exception_type,severity,source_system,processing_time_hours,settlement_lead_time_days,sla_status,operational_risk,operation_category
WM00001,CLIENT0140,Fund Purchase,Cash,846734.03,BRL,2026-08-14 05:28:09.042550,2026-08-16,Completed,Closure,Normal,Operations,2026-08-15 09:28:09.042550,2026-08-16 07:28:09.042550,False,,,Core Banking,28.0,1.77,Outside SLA,High,Completed
WM00002,CLIENT0115,Cash Transfer,Equity,1619813.76,BRL,2026-08-14 09:25:09.042550,2026-08-19,Settled,Settlement,Normal,Settlement,2026-08-16 16:25:09.042550,2026-08-18 13:25:09.042550,False,,,Trading Platform,55.0,4.61,Outside SLA,High,Completed
WM00003,CLIENT0098,Fund Purchase,Equity,1695751.26,USD,2026-08-20 06:19:09.042550,2026-08-21,Processing,Processing,Normal,Operations,2026-08-22 17:19:09.042550,,False,,,Custody System,59.0,0.74,Outside SLA,High,In Progress
WM00004,CLIENT0076,Portfolio Rebalancing,Cash,1771476.24,USD,2026-09-12 07:18:09.042550,2026-09-17,Validation,Data Validation,Normal,Reconciliation,2026-09-13 08:18:09.042550,,False,,,Custody System,25.0,4.7,Outside SLA,High,In Progress
WM00005,CLIENT0021,Fund Redemption,Mutual Fund,763351.82,USD,2026-09-04 05:02:09.042550,2026-09-07,Received,Request Received,Normal,Client Operations,2026-09-05 02:02:09.042550,,False,,,Trading Platform,21.0,2.79,Within SLA,Low,In Progress
WM00006,CLIENT0044,Cash Transfer,Fixed Income,330987.98,USD,2026-09-04 05:57:09.042550,2026-09-05,Processing,Processing,Normal,Client Operations,2026-09-07 05:57:09.042550,,False,,,Core Banking,72.0,0.75,Outside SLA,High,In Progress
WM00007,CLIENT0069,Fund Purchase,Fixed Income,1826706.57,USD,2026-09-09 01:27:09.042550,2026-09-10,Completed,Closure,Normal,Settlement,2026-09-11 17:27:09.042550,2026-09-12 08:27:09.042550,False,,,Trading Platform,64.0,0.94,Outside SLA,High,Completed
WM00008,CLIENT0144,Cash Transfer,Equity,1495292.55,USD,2026-09-03 08:22:09.042550,2026-09-06,Completed,Closure,Normal,Reconciliation,2026-09-05 12:22:09.042550,2026-09-05 12:22:09.042550,False,,,Trading Platform,52.0,2.65,Outside SLA,High,Completed
WM00009,CLIENT0013,Fund Purchase,Fixed Income,1256754.85,USD,2026-08-18 09:44:09.042550,2026-08-19,Pending Approval,Approval,Medium,Reconciliation,2026-08-18 18:44:09.042550,,False,,,Trading Platform,9.0,0.59,Within SLA,High,In Progress
WM00010,CLIENT0003,Portfolio Rebalancing,Mutual Fund,1365012.19,USD,2026-08-28 09:29:09.042550,2026-09-02,Pending Settlement,Settlement,Medium,Client Operations,2026-08-29 00:29:09.042550,,False,,,Trading Platform,15.0,4.6,Within SLA,High,In Progress
WM00011,CLIENT0130,Fund Purchase,Equity,1684130.35,BRL,2026-08-28 01:59:09.042550,2026-08-31,Settled,Settlement,Normal,Settlement,2026-08-30 01:59:09.042550,2026-09-02 04:59:09.042550,False,,,Core Banking,48.0,2.92,Outside SLA,High,Completed
WM00012,CLIENT0126,Fund Purchase,Mutual Fund,1858551.74,USD,2026-09-07 10:11:09.042550,2026-09-08,Reconciled,Reconciliation,Normal,Settlement,2026-09-07 18:11:09.042550,2026-09-12 16:11:09.042550,False,,,Core Banking,8.0,0.58,Within SLA,Low,Completed
WM00013,CLIENT0033,Portfolio Rebalancing,ETF,1893963.12,BRL,2026-09-13 02:18:09.042550,2026-09-17,Completed,Closure,Normal,Client Operations,2026-09-15 22:18:09.042550,2026-09-14 05:18:09.042550,False,,,Custody System,68.0,3.9,Outside SLA,High,Completed
WM00014,CLIENT0096,Asset Transfer - External,Cash,905714.85,BRL,2026-08-20 10:01:09.042550,2026-08-22,Settled,Settlement,Normal,Settlement,2026-08-20 19:01:09.042550,2026-08-23 17:01:09.042550,False,,,Trading Platform,9.0,1.58,Within SLA,Low,Completed
WM00015,CLIENT0002,Fund Purchase,Mutual Fund,461738.86,BRL,2026-08-31 04:50:09.042550,2026-09-02,Received,Request Received,Normal,Client Operations,2026-08-31 14:50:09.042550,,False,,,Custody System,10.0,1.8,Within SLA,Low,In Progress
WM00016,CLIENT0034,Portfolio Rebalancing,Cash,1154542.24,BRL,2026-09-04 08:26:09.042550,2026-09-09,Pending Approval,Approval,Medium,Middle Office,2026-09-06 13:26:09.042550,,False,,,Core Banking,53.0,4.65,Outside SLA,High,In Progress
WM00017,CLIENT0106,Asset Transfer - External,Mutual Fund,1348362.27,BRL,2026-09-04 07:35:09.042550,2026-09-08,Validation,Data Validation,Normal,Operations,2026-09-06 11:35:09.042550,,False,,,Custody System,52.0,3.68,Outside SLA,High,In Progress
WM00018,CLIENT0049,Cash Transfer,ETF,284663.68,BRL,2026-09-10 02:28:09.042550,2026-09-12,Processing,Processing,Normal,Client Operations,2026-09-12 14:28:09.042550,,False,,,Core Banking,60.0,1.9,Outside SLA,High,In Progress
WM00019,CLIENT0139,Fund Purchase,Mutual Fund,1853102.13,BRL,2026-08-16 09:04:09.042550,2026-08-21,Completed,Closure,Normal,Settlement,2026-08-18 14:04:09.042550,2026-08-17 10:04:09.042550,False,,,Trading Platform,53.0,4.62,Outside SLA,High,Completed
WM00020,CLIENT0001,Asset Transfer - External,Equity,1853403.56,USD,2026-09-10 08:10:09.042550,2026-09-11,Settled,Settlement,Normal,Client Operations,2026-09-12 15:10:09.042550,2026-09-12 15:10:09.042550,False,,,Custody System,55.0,0.66,Outside SLA,High,Completed
WM00021,CLIENT0076,Fund Redemption,Mutual Fund,1160464.68,BRL,2026-09-08 09:55:09.042550,2026-09-12,Exception,Processing,Critical,Operations,2026-09-08 16:55:09.042550,,True,Asset Position Divergence,Medium,Custody System,7.0,3.59,Within SLA,Critical,Exception
WM00022,CLIENT0048,Fund Purchase,Cash,140581.92,BRL,2026-09-12 09:23:09.042550,2026-09-13,Settled,Settlement,Normal,Middle Office,2026-09-13 01:23:09.042550,2026-09-17 11:23:09.042550,False,,,Custody System,16.0,0.61,Within SLA,Low,Completed
WM00023,CLIENT0108,Portfolio Rebalancing,Cash,1132627.71,USD,2026-09-02 01:52:09.042550,2026-09-03,Processing,Processing,Normal,Client Operations,2026-09-03 04:52:09.042550,,False,,,Custody System,27.0,0.92,Outside SLA,High,In Progress
WM00024,CLIENT0081,Fund Purchase,Mutual Fund,919279.62,BRL,2026-08-21 05:38:09.042550,2026-08-23,Completed,Closure,Normal,Operations,2026-08-24 02:38:09.042550,2026-08-24 13:38:09.042550,False,,,Core Banking,69.0,1.77,Outside SLA,High,Completed
WM00025,CLIENT0073,Fund Redemption,ETF,1668321.18,USD,2026-08-18 07:09:09.042550,2026-08-19,Settled,Settlement,Normal,Reconciliation,2026-08-21 03:09:09.042550,2026-08-20 13:09:09.042550,False,,,Core Banking,68.0,0.7,Outside SLA,High,Completed
WM00026,CLIENT0030,Fund Purchase,Cash,315118.58,USD,2026-08-31 06:12:09.042550,2026-09-01,Completed,Closure,Normal,Reconciliation,2026-09-01 09:12:09.042550,2026-09-02 11:12:09.042550,False,,,Custody System,27.0,0.74,Outside SLA,High,Completed
WM00027,CLIENT0130,Asset Transfer - External,Equity,1811146.3,BRL,2026-09-04 12:07:09.042550,2026-09-07,Processing,Processing,Normal,Operations,2026-09-06 19:07:09.042550,,False,,,Trading Platform,55.0,2.5,Outside SLA,High,In Progress
WM00028,CLIENT0042,Portfolio Rebalancing,ETF,1105602.44,USD,2026-08-24 03:53:09.042550,2026-08-27,Received,Request Received,Normal,Reconciliation,2026-08-24 05:53:09.042550,,False,,,Core Banking,2.0,2.84,Within SLA,Low,In Progress
WM00029,CLIENT0095,Cash Transfer,Cash,300447.1,BRL,2026-09-11 03:47:09.042550,2026-09-12,Received,Request Received,Normal,Operations,2026-09-12 19:47:09.042550,,False,,,Trading Platform,40.0,0.84,Outside SLA,High,In Progress
WM00030,CLIENT0027,Asset Transfer - Internal,Cash,1768848.73,USD,2026-09-08 02:10:09.042550,2026-09-11,Completed,Closure,Normal,Reconciliation,2026-09-08 22:10:09.042550,2026-09-10 06:10:09.042550,False,,,Core Banking,20.0,2.91,Within SLA,Low,Completed
WM00031,CLIENT0086,Asset Transfer - External,Fixed Income,537277.39,BRL,2026-09-08 04:09:09.042550,2026-09-12,Completed,Closure,Normal,Middle Office,2026-09-08 09:09:09.042550,2026-09-09 07:09:09.042550,False,,,Trading Platform,5.0,3.83,Within SLA,Low,Completed
WM00032,CLIENT0059,Fund Redemption,Mutual Fund,1321766.2,USD,2026-09-09 08:35:09.042550,2026-09-12,Pending Approval,Approval,Medium,Client Operations,2026-09-10 20:35:09.042550,,False,,,Core Banking,36.0,2.64,Outside SLA,High,In Progress
WM00033,CLIENT0008,Fund Purchase,Equity,361242.79,USD,2026-08-22 06:54:09.042550,2026-08-27,Exception,Processing,High,Operations,2026-08-24 14:54:09.042550,,True,Insufficient Position,High,Trading Platform,56.0,4.71,Outside SLA,Critical,Exception
WM00034,CLIENT0148,Fund Redemption,Equity,93551.13,USD,2026-08-24 07:51:09.042550,2026-08-29,Completed,Closure,Normal,Operations,2026-08-27 02:51:09.042550,2026-08-25 14:51:09.042550,False,,,Custody System,67.0,4.67,Outside SLA,High,Completed
WM00035,CLIENT0085,Cash Transfer,Equity,1328458.02,BRL,2026-09-13 11:25:09.042550,2026-09-16,Completed,Closure,Normal,Client Operations,2026-09-16 04:25:09.042550,2026-09-17 13:25:09.042550,False,,,Trading Platform,65.0,2.52,Outside SLA,High,Completed
WM00036,CLIENT0050,Asset Transfer - External,ETF,1356249.3,BRL,2026-08-24 07:57:09.042550,2026-08-27,Completed,Closure,Normal,Reconciliation,2026-08-25 22:57:09.042550,2026-08-29 10:57:09.042550,False,,,Trading Platform,39.0,2.67,Outside SLA,High,Completed
WM00037,CLIENT0120,Asset Transfer - External,ETF,1352876.33,USD,2026-08-14 05:31:09.042550,2026-08-16,Reconciled,Reconciliation,Normal,Settlement,2026-08-14 16:31:09.042550,2026-08-18 11:31:09.042550,False,,,Trading Platform,11.0,1.77,Within SLA,Low,Completed
